name	type	units	reference	status	description
Fp1	EEG	V	FCz	good	
Fz	EEG	V	FCz	good	
F3	EEG	V	FCz	good	
F7	EEG	V	FCz	good	
FT9	EEG	V	FCz	good	
FC5	EEG	V	FCz	good	
FC1	EEG	V	FCz	good	
C3	EEG	V	FCz	good	
T7	EEG	V	FCz	good	
TP9	EEG	V	FCz	good	
CP5	EEG	V	FCz	good	
CP1	EEG	V	FCz	good	
Pz	EEG	V	FCz	good	
P3	EEG	V	FCz	good	
P7	EEG	V	FCz	good	
O1	EEG	V	FCz	good	
Oz	EEG	V	FCz	good	
O2	EEG	V	FCz	good	
P4	EEG	V	FCz	good	
P8	EEG	V	FCz	good	
TP10	EEG	V	FCz	good	
CP6	EEG	V	FCz	good	
CP2	EEG	V	FCz	good	
Cz	EEG	V	FCz	good	
C4	EEG	V	FCz	good	
T8	EEG	V	FCz	good	
FT10	EEG	V	FCz	good	
FC6	EEG	V	FCz	good	
FC2	EEG	V	FCz	good	
F4	EEG	V	FCz	good	
F8	EEG	V	FCz	good	
Fp2	EEG	V	FCz	good	
AF7	EEG	V	FCz	good	
AF3	EEG	V	FCz	good	
AFz	EEG	V	FCz	good	
F1	EEG	V	FCz	good	
F5	EEG	V	FCz	good	
FT7	EEG	V	FCz	good	
FC3	EEG	V	FCz	good	
C1	EEG	V	FCz	good	
C5	EEG	V	FCz	good	
TP7	EEG	V	FCz	good	
CP3	EEG	V	FCz	good	
P1	EEG	V	FCz	good	
P5	EEG	V	FCz	good	
PO7	EEG	V	FCz	good	
PO3	EEG	V	FCz	good	
POz	EEG	V	FCz	good	
PO4	EEG	V	FCz	good	
PO8	EEG	V	FCz	good	
P6	EEG	V	FCz	good	
P2	EEG	V	FCz	good	
CPz	EEG	V	FCz	good	
CP4	EEG	V	FCz	good	
TP8	EEG	V	FCz	bad	Bad channel detected by pyprep
C6	EEG	V	FCz	good	
C2	EEG	V	FCz	good	
FC4	EEG	V	FCz	good	
FT8	EEG	V	FCz	good	
F6	EEG	V	FCz	good	
AF8	EEG	V	FCz	good	
AF4	EEG	V	FCz	good	
F2	EEG	V	FCz	good	
