onset	duration	sample	trial_type	value	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	text.started	text.stopped	therm_loca_text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 39	distance_from_previous	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	step_num	time_sync
41.444	0	41444	wait	10005	0	0	0	0	0.0	0.0	0.0	0.0	83.67204179998953	83.57636979990639	p	41.31074149999768	125.00537519995125	132.52177529991604	132.52177529991604	5.0	['5', 'return']	[3.870069200056605, 5.390014100004919]	7.51	6.38	0.0	20hz	low_pain	46.7				sub-052	250	52	46.7	47.8	COM5	COM15	COM3	2024-12-09_13h20.06.542	001-EEG_SVR_Officel	2022.2.5	238.77460849588877		41.444	0_sub-pilot052_SVR_EEG_block1-2.protocol.csv	step3	2355	235.327	STIMULATE	46.9	46.8	46.7	46.7	46.7	3	61.95199999999999
48.952	0	48952	20hz	10004	0	0	0	0	0.0	0.0	0.0	0.0	83.67204179998953	83.57636979990639	p	41.31074149999768	125.00537519995125	132.52177529991604	132.52177529991604	5.0	['5', 'return']	[3.870069200056605, 5.390014100004919]	7.51	6.38	0.0	20hz	low_pain	46.7				sub-052	250	52	46.7	47.8	COM5	COM15	COM3	2024-12-09_13h20.06.542	001-EEG_SVR_Officel	2022.2.5	238.77460849588877		7.507999999999996	0_sub-pilot052_SVR_EEG_block1-2.protocol.csv	step3	2355	235.327	STIMULATE	46.9	46.8	46.7	46.7	46.7	3	61.95199999999999
56.085	0	56085	20/Lo	10001	0	0	0	0	0.0	0.0	0.0	0.0	83.67204179998953	83.57636979990639	p	41.31074149999768	125.00537519995125	132.52177529991604	132.52177529991604	5.0	['5', 'return']	[3.870069200056605, 5.390014100004919]	7.51	6.38	0.0	20hz	low_pain	46.7				sub-052	250	52	46.7	47.8	COM5	COM15	COM3	2024-12-09_13h20.06.542	001-EEG_SVR_Officel	2022.2.5	238.77460849588877		6.383000000000003	0_sub-pilot052_SVR_EEG_block1-2.protocol.csv	step3	2355	235.327	STIMULATE	46.9	46.8	46.7	46.7	46.7	3	61.95199999999999
67.364	0	67364	wait	10005	0	0	0	0	1.0	0.0	1.0	0.0					150.92518049990758	156.60966379998715	156.60966379998715	6.0	['6', 'return']	[1.7259177999803796, 2.678534399950877]	5.68	5.75	1.0	40hz	low_pain	46.7				sub-052	250	52	46.7	47.8	COM5	COM15	COM3	2024-12-09_13h20.06.542	001-EEG_SVR_Officel	2022.2.5	238.77460849588877		12.029000000000003	0_sub-pilot052_SVR_EEG_block1-2.protocol.csv	step5	2592	258.837	STIMULATE	46.8	46.6	46.6	46.6	46.9	5	85.46199999999999
73.04	0	73040	40hz	10004	0	0	0	0	1.0	0.0	1.0	0.0					150.92518049990758	156.60966379998715	156.60966379998715	6.0	['6', 'return']	[1.7259177999803796, 2.678534399950877]	5.68	5.75	1.0	40hz	low_pain	46.7				sub-052	250	52	46.7	47.8	COM5	COM15	COM3	2024-12-09_13h20.06.542	001-EEG_SVR_Officel	2022.2.5	238.77460849588877		5.676000000000002	0_sub-pilot052_SVR_EEG_block1-2.protocol.csv	step5	2592	258.837	STIMULATE	46.8	46.6	46.6	46.6	46.9	5	85.46199999999999
79.543	0	79543	40/Lo	10001	0	0	0	0	1.0	0.0	1.0	0.0					150.92518049990758	156.60966379998715	156.60966379998715	6.0	['6', 'return']	[1.7259177999803796, 2.678534399950877]	5.68	5.75	1.0	40hz	low_pain	46.7				sub-052	250	52	46.7	47.8	COM5	COM15	COM3	2024-12-09_13h20.06.542	001-EEG_SVR_Officel	2022.2.5	238.77460849588877		5.753	0_sub-pilot052_SVR_EEG_block1-2.protocol.csv	step5	2592	258.837	STIMULATE	46.8	46.6	46.6	46.6	46.9	5	85.46199999999999
88.739	0	88739	wait	10005	0	0	0	0	2.0	0.0	2.0	0.0					172.30044249992352	180.09640069992747	180.09640069992747	6.0	['6', 'return']	[1.910702700028196, 2.927740400074981]	7.79	5.05	2.0	10hz	high_pain	47.8				sub-052	250	52	46.7	47.8	COM5	COM15	COM3	2024-12-09_13h20.06.542	001-EEG_SVR_Officel	2022.2.5	238.77460849588877		9.945999999999998	0_sub-pilot052_SVR_EEG_block1-2.protocol.csv	step7	2822	281.618	STIMULATE	47.8	47.8	47.8	47.8	48.0	7	108.243
96.527	0	96527	10hz	10004	0	0	0	0	2.0	0.0	2.0	0.0					172.30044249992352	180.09640069992747	180.09640069992747	6.0	['6', 'return']	[1.910702700028196, 2.927740400074981]	7.79	5.05	2.0	10hz	high_pain	47.8				sub-052	250	52	46.7	47.8	COM5	COM15	COM3	2024-12-09_13h20.06.542	001-EEG_SVR_Officel	2022.2.5	238.77460849588877		7.787999999999997	0_sub-pilot052_SVR_EEG_block1-2.protocol.csv	step7	2822	281.618	STIMULATE	47.8	47.8	47.8	47.8	48.0	7	108.243
102.331	0	102331	10/Hi	10001	0	0	0	0	2.0	0.0	2.0	0.0					172.30044249992352	180.09640069992747	180.09640069992747	6.0	['6', 'return']	[1.910702700028196, 2.927740400074981]	7.79	5.05	2.0	10hz	high_pain	47.8				sub-052	250	52	46.7	47.8	COM5	COM15	COM3	2024-12-09_13h20.06.542	001-EEG_SVR_Officel	2022.2.5	238.77460849588877		5.054000000000002	0_sub-pilot052_SVR_EEG_block1-2.protocol.csv	step7	2822	281.618	STIMULATE	47.8	47.8	47.8	47.8	48.0	7	108.243
112.476	0	112476	wait	10005	0	0	0	0	3.0	0.0	3.0	0.0					196.0377144999802	201.2626927999081	201.2626927999081	5.0	['5', 'return']	[2.0095412000082433, 3.049264100030996]	5.22	5.31	3.0	20hz	high_pain	47.8				sub-052	250	52	46.7	47.8	COM5	COM15	COM3	2024-12-09_13h20.06.542	001-EEG_SVR_Officel	2022.2.5	238.77460849588877		10.894999999999996	0_sub-pilot052_SVR_EEG_block1-2.protocol.csv	step9	3037	302.965	STIMULATE	47.8	47.8	47.8	47.8	47.8	9	129.58999999999997
117.693	0	117693	20hz	10004	0	0	0	0	3.0	0.0	3.0	0.0					196.0377144999802	201.2626927999081	201.2626927999081	5.0	['5', 'return']	[2.0095412000082433, 3.049264100030996]	5.22	5.31	3.0	20hz	high_pain	47.8				sub-052	250	52	46.7	47.8	COM5	COM15	COM3	2024-12-09_13h20.06.542	001-EEG_SVR_Officel	2022.2.5	238.77460849588877		5.216999999999999	0_sub-pilot052_SVR_EEG_block1-2.protocol.csv	step9	3037	302.965	STIMULATE	47.8	47.8	47.8	47.8	47.8	9	129.58999999999997
