onset	duration	sample	trial_type	distance_from_previous	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	rec_start_egi	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	text.started	text.stopped	therm_loca_text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 40	trial	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	time_sync
90.9	0	45450	CNhz	6.280000000000001	0	0	0	0	3.0	0.0	3.0	0.0						159.17284719999589	165.45997579999676	165.45997579999676	5.0	['5', 'return']	[3.6627558000036515, 4.287340399998357]	6.28	6.0	3.0	controle	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		4	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step9	1485	147.717	STIMULATE	48.5	48.4	48.4	48.4	48.5	103.42600000000002
97.648	0	48824	CN/Hi	5.85799999999999	0	0	0	0	3.0	0.0	3.0	0.0						159.17284719999589	165.45997579999676	165.45997579999676	5.0	['5', 'return']	[3.6627558000036515, 4.287340399998357]	6.28	6.0	3.0	controle	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		4	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step9	1485	147.717	STIMULATE	48.5	48.4	48.4	48.4	48.5	103.42600000000002
108.212	0	54106	wait	11.311999999999998	0	0	0	0	4.0	0.0	4.0	0.0						182.76601020000817	188.9083447000012	188.9083447000012	5.5	['5', 'a', '5', 'return']	[4.375479900001665, 4.991538000002038, 5.3036546999937855, 5.983350900001824]	6.14	6.33	0.0	40hz	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		5	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step11	1725	171.522	STIMULATE	48.8	48.4	48.4	48.5	48.8	127.231
114.346	0	57173	40hz	6.132000000000005	0	0	0	0	4.0	0.0	4.0	0.0						182.76601020000817	188.9083447000012	188.9083447000012	5.5	['5', 'a', '5', 'return']	[4.375479900001665, 4.991538000002038, 5.3036546999937855, 5.983350900001824]	6.14	6.33	0.0	40hz	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		5	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step11	1725	171.522	STIMULATE	48.8	48.4	48.4	48.5	48.8	127.231
121.428	0	60714	40/Hi	6.189999999999998	0	0	0	0	4.0	0.0	4.0	0.0						182.76601020000817	188.9083447000012	188.9083447000012	5.5	['5', 'a', '5', 'return']	[4.375479900001665, 4.991538000002038, 5.3036546999937855, 5.983350900001824]	6.14	6.33	0.0	40hz	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		5	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step11	1725	171.522	STIMULATE	48.8	48.4	48.4	48.5	48.8	127.231
133.356	0	66678	wait	12.673999999999992	0	0	0	0	5.0	0.0	5.0	0.0						207.9105483000021	214.67409300000872	214.67409300000872	5.5	['5', 'a', '5', 'return']	[3.952602700010175, 4.264016100001754, 4.47252870000375, 5.256210100007593]	6.76	5.63	1.0	40hz	high_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		6	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step13	1978	196.612	STIMULATE	48.6	48.4	48.4	48.4	48.7	152.321
140.114	0	70057	40hz	6.756	0	0	0	0	5.0	0.0	5.0	0.0						207.9105483000021	214.67409300000872	214.67409300000872	5.5	['5', 'a', '5', 'return']	[3.952602700010175, 4.264016100001754, 4.47252870000375, 5.256210100007593]	6.76	5.63	1.0	40hz	high_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		6	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step13	1978	196.612	STIMULATE	48.6	48.4	48.4	48.4	48.7	152.321
146.494	0	73247	40/Hi	5.4879999999999995	0	0	0	0	5.0	0.0	5.0	0.0						207.9105483000021	214.67409300000872	214.67409300000872	5.5	['5', 'a', '5', 'return']	[3.952602700010175, 4.264016100001754, 4.47252870000375, 5.256210100007593]	6.76	5.63	1.0	40hz	high_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		6	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step13	1978	196.612	STIMULATE	48.6	48.4	48.4	48.4	48.7	152.321
158.392	0	79196	wait	12.645999999999987	0	0	0	0	6.0	0.0	6.0	0.0						232.94580889999636	239.23127889999887	239.23127889999887	3.5	['3', 'a', '5', 'return']	[4.841867099996307, 5.33003440000175, 5.642008099996019, 6.47435140000016]	6.28	5.54	2.0	controle	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		7	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step15	2225	221.136	STIMULATE	47.1	46.9	46.9	46.9	47.2	176.84500000000003
164.672	0	82336	CNhz	6.277999999999992	0	0	0	0	6.0	0.0	6.0	0.0						232.94580889999636	239.23127889999887	239.23127889999887	3.5	['3', 'a', '5', 'return']	[4.841867099996307, 5.33003440000175, 5.642008099996019, 6.47435140000016]	6.28	5.54	2.0	controle	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		7	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step15	2225	221.136	STIMULATE	47.1	46.9	46.9	46.9	47.2	176.84500000000003
170.962	0	85481	CN/Lo	5.397999999999996	0	0	0	0	6.0	0.0	6.0	0.0						232.94580889999636	239.23127889999887	239.23127889999887	3.5	['3', 'a', '5', 'return']	[4.841867099996307, 5.33003440000175, 5.642008099996019, 6.47435140000016]	6.28	5.54	2.0	controle	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		7	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step15	2225	221.136	STIMULATE	47.1	46.9	46.9	46.9	47.2	176.84500000000003
184.174	0	92087	wait	13.960000000000008	0	0	0	0	7.0	0.0	7.0	0.0						258.7292073999997	263.7357917000045	263.7357917000045	2.5	['2', 'a', '5', 'return']	[5.371514200000092, 5.786581599997589, 6.082632799996645, 6.923054600003525]	5.0	6.43	3.0	20hz	low_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		8	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step17	2480	246.478	STIMULATE	47.1	46.9	46.9	46.9	46.9	202.187
189.176	0	94588	20hz	5.0	0	0	0	0	7.0	0.0	7.0	0.0						258.7292073999997	263.7357917000045	263.7357917000045	2.5	['2', 'a', '5', 'return']	[5.371514200000092, 5.786581599997589, 6.082632799996645, 6.923054600003525]	5.0	6.43	3.0	20hz	low_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		8	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step17	2480	246.478	STIMULATE	47.1	46.9	46.9	46.9	46.9	202.187
196.354	0	98177	20/Lo	6.288000000000011	0	0	0	0	7.0	0.0	7.0	0.0						258.7292073999997	263.7357917000045	263.7357917000045	2.5	['2', 'a', '5', 'return']	[5.371514200000092, 5.786581599997589, 6.082632799996645, 6.923054600003525]	5.0	6.43	3.0	20hz	low_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		8	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step17	2480	246.478	STIMULATE	47.1	46.9	46.9	46.9	46.9	202.187
209.12	0	104560	wait	13.51400000000001	0	0	0	0	8.0	0.0	8.0	0.0						283.6745033000043	291.60655470000347	291.60655470000347	5.0	['5', 'return']	[5.067893500003265, 5.755535599993891]	7.93	6.33	0.0	20hz	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		9	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step19	2760	274.266	STIMULATE	48.7	48.4	48.4	48.5	48.8	229.97500000000002
217.046	0	108523	20hz	7.923999999999978	0	0	0	0	8.0	0.0	8.0	0.0						283.6745033000043	291.60655470000347	291.60655470000347	5.0	['5', 'return']	[5.067893500003265, 5.755535599993891]	7.93	6.33	0.0	20hz	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		9	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step19	2760	274.266	STIMULATE	48.7	48.4	48.4	48.5	48.8	229.97500000000002
224.128	0	112064	20/Hi	6.189999999999998	0	0	0	0	8.0	0.0	8.0	0.0						283.6745033000043	291.60655470000347	291.60655470000347	5.0	['5', 'return']	[5.067893500003265, 5.755535599993891]	7.93	6.33	0.0	20hz	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		9	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step19	2760	274.266	STIMULATE	48.7	48.4	48.4	48.5	48.8	229.97500000000002
235.824	0	117912	wait	12.444000000000017	0	0	0	0	9.0	0.0	9.0	0.0						310.3792727999971	316.4115960000054	316.4115960000054	3.0	['3', 'return']	[3.970883199988748, 4.75512639999215]	6.03	5.41	1.0	10hz	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		10	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step21	3001	298.13	STIMULATE	47.1	46.9	46.9	46.9	47.2	253.839
241.85	0	120925	10hz	6.024000000000001	0	0	0	0	9.0	0.0	9.0	0.0						310.3792727999971	316.4115960000054	316.4115960000054	3.0	['3', 'return']	[3.970883199988748, 4.75512639999215]	6.03	5.41	1.0	10hz	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		10	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step21	3001	298.13	STIMULATE	47.1	46.9	46.9	46.9	47.2	253.839
248.012	0	124006	10/Lo	5.274000000000001	0	0	0	0	9.0	0.0	9.0	0.0						310.3792727999971	316.4115960000054	316.4115960000054	3.0	['3', 'return']	[3.970883199988748, 4.75512639999215]	6.03	5.41	1.0	10hz	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		10	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step21	3001	298.13	STIMULATE	47.1	46.9	46.9	46.9	47.2	253.839
259.632	0	129816	wait	12.367999999999995	0	0	0	0	10.0	0.0	10.0	0.0						334.1877822999959	341.66403329999594	341.66403329999594	4.0	['4', 'return']	[4.70096950000152, 5.332521100004669]	7.47	6.21	2.0	20hz	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		11	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step23	3263	324.12	STIMULATE	48.7	48.4	48.4	48.5	48.7	279.829
267.102	0	133551	20hz	0.0	0	0	0	0	10.0	0.0	10.0	0.0						334.1877822999959	341.66403329999594	341.66403329999594	4.0	['4', 'return']	[4.70096950000152, 5.332521100004669]	7.47	6.21	2.0	20hz	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		11	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step23	3263	324.12	STIMULATE	48.7	48.4	48.4	48.5	48.7	279.829
274.064	0	137032	20/Hi	6.072000000000003	0	0	0	0	10.0	0.0	10.0	0.0						334.1877822999959	341.66403329999594	341.66403329999594	4.0	['4', 'return']	[4.70096950000152, 5.332521100004669]	7.47	6.21	2.0	20hz	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		11	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step23	3263	324.12	STIMULATE	48.7	48.4	48.4	48.5	48.7	279.829
285.456	0	142728	wait	0.0	0	0	0	0	11.0	0.0	11.0	0.0						360.01035989999946	366.5847756000003	366.5847756000003	2.0	['2', 'return']	[4.429711000004318, 5.1086805000086315]	6.57	5.17	3.0	40hz	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		12	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step25	3504	348.024	STIMULATE	47.0	46.9	46.9	46.9	46.9	303.733
292.022	0	146011	40hz	6.565999999999974	0	0	0	0	11.0	0.0	11.0	0.0						360.01035989999946	366.5847756000003	366.5847756000003	2.0	['2', 'return']	[4.429711000004318, 5.1086805000086315]	6.57	5.17	3.0	40hz	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		12	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step25	3504	348.024	STIMULATE	47.0	46.9	46.9	46.9	46.9	303.733
297.942	0	148971	40/Lo	5.03000000000003	0	0	0	0	11.0	0.0	11.0	0.0						360.01035989999946	366.5847756000003	366.5847756000003	2.0	['2', 'return']	[4.429711000004318, 5.1086805000086315]	6.57	5.17	3.0	40hz	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		12	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step25	3504	348.024	STIMULATE	47.0	46.9	46.9	46.9	46.9	303.733
310.152	0	155076	wait	12.95799999999997	0	0	0	0	12.0	0.0	12.0	0.0						384.7080578000023	392.0735985000065	392.0735985000065	5.5	['5', 'a', '5', 'return']	[3.8354461999988416, 4.180574099998921, 4.340661299997009, 5.0691585000022314]	7.36	5.18	0.0	20hz	high_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		13	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step27	3761	373.523	STIMULATE	48.6	48.4	48.4	48.5	48.8	329.232
317.51	0	158755	20hz	7.3559999999999945	0	0	0	0	12.0	0.0	12.0	0.0						384.7080578000023	392.0735985000065	392.0735985000065	5.5	['5', 'a', '5', 'return']	[3.8354461999988416, 4.180574099998921, 4.340661299997009, 5.0691585000022314]	7.36	5.18	0.0	20hz	high_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		13	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step27	3761	373.523	STIMULATE	48.6	48.4	48.4	48.5	48.8	329.232
323.438	0	161719	20/Hi	5.038000000000011	0	0	0	0	12.0	0.0	12.0	0.0						384.7080578000023	392.0735985000065	392.0735985000065	5.5	['5', 'a', '5', 'return']	[3.8354461999988416, 4.180574099998921, 4.340661299997009, 5.0691585000022314]	7.36	5.18	0.0	20hz	high_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		13	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step27	3761	373.523	STIMULATE	48.6	48.4	48.4	48.5	48.8	329.232
335.6	0	167800	wait	0.0	0	0	0	0	13.0	0.0	13.0	0.0						410.1549393000023	417.1073635000066	417.1073635000066	6.0	['6', 'return']	[3.8367096000001766, 4.3243424000102095]	6.95	5.18	1.0	controle	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		14	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step29	4013	398.562	STIMULATE	48.7	48.4	48.4	48.4	48.8	354.271
342.546	0	171273	CNhz	6.9459999999999695	0	0	0	0	13.0	0.0	13.0	0.0						410.1549393000023	417.1073635000066	417.1073635000066	6.0	['6', 'return']	[3.8367096000001766, 4.3243424000102095]	6.95	5.18	1.0	controle	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		14	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step29	4013	398.562	STIMULATE	48.7	48.4	48.4	48.4	48.8	354.271
348.474	0	174237	CN/Hi	5.036000000000001	0	0	0	0	13.0	0.0	13.0	0.0						410.1549393000023	417.1073635000066	417.1073635000066	6.0	['6', 'return']	[3.8367096000001766, 4.3243424000102095]	6.95	5.18	1.0	controle	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		14	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step29	4013	398.562	STIMULATE	48.7	48.4	48.4	48.4	48.8	354.271
359.894	0	179947	wait	12.165999999999997	0	0	0	0	14.0	0.0	14.0	0.0						434.449582900008	441.7845397000056	441.7845397000056	3.0	['3', 'return']	[3.921553199994378, 4.569982800006983]	7.33	5.2	2.0	40hz	low_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		15	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step31	4262	423.224	STIMULATE	47.2	46.9	46.9	46.9	47.2	378.933
367.224	0	183612	40hz	7.3279999999999745	0	0	0	0	14.0	0.0	14.0	0.0						434.449582900008	441.7845397000056	441.7845397000056	3.0	['3', 'return']	[3.921553199994378, 4.569982800006983]	7.33	5.2	2.0	40hz	low_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		15	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step31	4262	423.224	STIMULATE	47.2	46.9	46.9	46.9	47.2	378.933
373.172	0	186586	40/Lo	5.05800000000005	0	0	0	0	14.0	0.0	14.0	0.0						434.449582900008	441.7845397000056	441.7845397000056	3.0	['3', 'return']	[3.921553199994378, 4.569982800006983]	7.33	5.2	2.0	40hz	low_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		15	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step31	4262	423.224	STIMULATE	47.2	46.9	46.9	46.9	47.2	378.933
384.82	0	192410	wait	12.396000000000015	0	0	0	0	15.0	0.0	15.0	0.0						459.37612290000834	466.3558294999966	466.3558294999966	2.0	['2', 'return']	[3.445531300007133, 4.292989599998691]	6.98	5.72	3.0	controle	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		16	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step33	4515	448.397	STIMULATE	47.0	46.9	46.9	46.9	46.9	404.106
391.794	0	195897	CNhz	6.97199999999998	0	0	0	0	15.0	0.0	15.0	0.0						459.37612290000834	466.3558294999966	466.3558294999966	2.0	['2', 'return']	[3.445531300007133, 4.292989599998691]	6.98	5.72	3.0	controle	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		16	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step33	4515	448.397	STIMULATE	47.0	46.9	46.9	46.9	46.9	404.106
