onset	duration	sample	trial_type	distance_from_previous	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	rec_start_egi	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	text.started	text.stopped	therm_loca_text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 40	trial	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	time_sync
12.334	0	6167	wait	12.129999999999999	0	0	0	0	0.0	0.0	0.0	0.0	74.75636240000313	74.55849470000248	1697809761.8667357	p	12.110479700000724	86.88841189999948	94.06846360000782	94.06846360000782	3.0	['3', 'return']	[3.4373389999964274, 4.1418893999943975]	7.18	5.35	0.0	40hz	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		1	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step3	759	75.741	STIMULATE	47.1	46.9	46.9	47.0	47.2	31.450000000000003
19.51	0	9755	40hz	7.174000000000001	0	0	0	0	0.0	0.0	0.0	0.0	74.75636240000313	74.55849470000248	1697809761.8667357	p	12.110479700000724	86.88841189999948	94.06846360000782	94.06846360000782	3.0	['3', 'return']	[3.4373389999964274, 4.1418893999943975]	7.18	5.35	0.0	40hz	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		1	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step3	759	75.741	STIMULATE	47.1	46.9	46.9	47.0	47.2	31.450000000000003
25.61	0	12805	40/Lo	5.210000000000001	0	0	0	0	0.0	0.0	0.0	0.0	74.75636240000313	74.55849470000248	1697809761.8667357	p	12.110479700000724	86.88841189999948	94.06846360000782	94.06846360000782	3.0	['3', 'return']	[3.4373389999964274, 4.1418893999943975]	7.18	5.35	0.0	40hz	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		1	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step3	759	75.741	STIMULATE	47.1	46.9	46.9	47.0	47.2	31.450000000000003
36.674	0	18337	wait	11.809999999999999	0	0	0	0	1.0	0.0	1.0	0.0						111.22949959999823	116.41405960000702	116.41405960000702	4.0	['4', 'return']	[3.263209500000812, 3.839492600003723]	5.18	5.46	1.0	20hz	high_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		2	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step5	985	98.121	STIMULATE	48.5	48.4	48.4	48.6	48.8	53.83
41.852	0	20926	20hz	5.1739999999999995	0	0	0	0	1.0	0.0	1.0	0.0						111.22949959999823	116.41405960000702	116.41405960000702	4.0	['4', 'return']	[3.263209500000812, 3.839492600003723]	5.18	5.46	1.0	20hz	high_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		2	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step5	985	98.121	STIMULATE	48.5	48.4	48.4	48.6	48.8	53.83
48.066	0	24033	20/Hi	5.322000000000003	0	0	0	0	1.0	0.0	1.0	0.0						111.22949959999823	116.41405960000702	116.41405960000702	4.0	['4', 'return']	[3.263209500000812, 3.839492600003723]	5.18	5.46	1.0	20hz	high_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		2	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step5	985	98.121	STIMULATE	48.5	48.4	48.4	48.6	48.8	53.83
58.712	0	29356	wait	11.394000000000005	0	0	0	0	2.0	0.0	2.0	0.0						133.26705170000787	139.96981999999844	139.96981999999844	3.0	['3', 'return']	[5.424458499997854, 6.184383600004367]	6.7	6.07	2.0	20hz	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		3	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step7	1229	122.34	STIMULATE	47.2	46.9	46.9	47.0	47.2	78.049
65.41	0	32705	20hz	6.695999999999998	0	0	0	0	2.0	0.0	2.0	0.0						133.26705170000787	139.96981999999844	139.96981999999844	3.0	['3', 'return']	[5.424458499997854, 6.184383600004367]	6.7	6.07	2.0	20hz	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		3	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step7	1229	122.34	STIMULATE	47.2	46.9	46.9	47.0	47.2	78.049
72.228	0	36114	20/Lo	5.925999999999988	0	0	0	0	2.0	0.0	2.0	0.0						133.26705170000787	139.96981999999844	139.96981999999844	3.0	['3', 'return']	[5.424458499997854, 6.184383600004367]	6.7	6.07	2.0	20hz	low_pain	48.5				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		3	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step7	1229	122.34	STIMULATE	47.2	46.9	46.9	47.0	47.2	78.049
84.618	0	42309	wait	13.137999999999991	0	0	0	0	3.0	0.0	3.0	0.0						159.17284719999589	165.45997579999676	165.45997579999676	5.0	['5', 'return']	[3.6627558000036515, 4.287340399998357]	6.28	6.0	3.0	controle	high_pain	47.0				sub-pilot012	250	1	47	48.5	COM11	COM7	COM3	2023-10-20_09h49.16.361	001-EEG_SVR_Officel	2022.2.5	143.76553566198453		4	sub-pilot012_SVR_EEG_block1-3.protocol.csv	step9	1485	147.717	STIMULATE	48.5	48.4	48.4	48.4	48.5	103.42600000000002
